benchmark,lang,variant,threads,metric,value,stddev,sample_runs,unit,git_sha,cpu_model,flags,os,passed,oracle_kind,verify_abs_err,verify_rel_err,verify_ulps,verify_within_1ulp
md_integrator_verlet,rust,release,1,wall_time,2.1641,0.046211,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_integrator_verlet,julia,release,1,wall_time,2.1148,0.136038,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_integrator_verlet,li,release,1,wall_time,2.0802,0.059857,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_integrator_leapfrog,cpp,release,1,wall_time,2.3174,0.047733,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
md_integrator_leapfrog,rust,release,1,wall_time,2.2378,0.092894,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_integrator_leapfrog,julia,release,1,wall_time,2.0462,0.040408,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_integrator_leapfrog,li,release,1,wall_time,2.1372,0.030447,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_longrange_pme,cpp,release,1,wall_time,2.1835,0.101131,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
md_longrange_pme,rust,release,1,wall_time,2.1425,0.127047,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_longrange_pme,julia,release,1,wall_time,2.2099,0.056477,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_longrange_pme,li,release,1,wall_time,2.1152,0.218662,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_oracle_external,cpp,release,1,wall_time,2.268,0.109584,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
md_oracle_external,rust,release,1,wall_time,2.1951,0.06791,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_oracle_external,julia,release,1,wall_time,2.1929,0.018881,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
